HP,MPG,VOL,SP,WT
88,44.47288,90,117.5662,29.04406
73,46.38537,91,115.5995,28.87439
87,42.73573,91,117.2282,28.51743
53,52.94883,101,110.6481,32.2125
97,41.10162,103,120.8906,32.52161
54,52.09933,97,110.0956,31.27005
64,49.48743,94,112.8836,30.30104
66,50.7935,92,113.2738,29.34719
84,43.41223,101,119.642,31.67215
98,39.71276,97,121.4944,30.89965
85,42.86318,92,117.6105,28.44173
68,50.34942,94,114.1881,29.42246
70,48.26751,90,115.6219,27.8634
59,51.94517,89,114.3067,28.66346
94,42.1918,103,121.8762,33.57443
63,49.59512,92,113.5638,30.08233
71,47.49557,50,114.4401,16.17426
93,41.44065,90,120.6463,28.88721
77,48.23876,107,118.0451,33.83715
65,51.21696,94,113.73,31.06176
53,53.80157,92,111.2358,29.45615
58,52.16252,50,111.3789,15.28181
67,48.05541,94,115.4387,30.18895
88,42.8461,91,117.9438,29.09759
99,38.97802,92,123.686,30.39709
72,49.21894,91,115.9089,28.62627
70,47.72951,50,116.5013,15.88722
80,44.64078,97,117.4846,30.91681
89,42.62686,90,118.5791,29.32787
83,44.40599,107,116.3671,34.91156
81,47.40799,94,118.2897,29.60378
87,45.70987,91,118.5329,29.05442
61,50.84521,92,112.4772,28.84273
85,46.31503,107,117.0535,33.6111
61,50.08335,50,113.3612,16.41982
72,49.1057,91,116.3198,28.14196
73,50.03937,107,115.565,34.28646
56,54.61269,50,111.9111,16.6818
62,51.13751,107,115.3821,33.78835
55,54.00377,89,111.8144,28.13209
62,52.60095,103,111.7748,33.0601
78,47.02012,89,117.5249,28.4648
67,48.65795,94,113.124,30.21735
61,51.88669,94,112.6647,30.91375
49,55.38001,92,110.9295,29.06385
90,42.75129,92,121.7423,29.02048
95,43.33962,92,122.4064,30.43806
95,40.44816,107,121.6193,34.08598
63,50.47024,92,113.3421,29.88878
91,42.01732,50,121.828,15.79716
76,47.97001,103,116.4812,32.76085
78,44.85287,91,118.2511,29.26213
69,48.24641,101,116.5558,31.62238
49,55.82497,90,110.4572,29.51062
82,45.97325,90,119.7301,28.44212
89,42.0014,107,118.8727,34.36304
88,41.81291,101,117.8267,33.11229
84,45.25319,50,117.0208,15.38135
54,52.10526,101,112.528,33.00473
50,53.45667,101,112.6793,31.78403
86,45.88764,107,117.3849,34.60566
68,50.22358,97,116.2444,31.82858
90,44.5233,97,121.0049,30.87468
87,43.58047,91,118.5217,29.19345
58,52.80174,103,112.8303,32.52319
85,43.59213,101,119.4146,32.34459
60,52.0777,92,115.1896,28.96055
58,53.26249,97,111.776,30.85196
74,46.23404,50,116.0505,15.14729
73,47.4261,92,115.156,28.90008
73,49.9228,90,117.863,29.47423
98,40.48526,97,121.1887,31.14785
91,43.3253,97,121.4371,30.7571
64,52.40262,101,112.7955,31.70812
81,45.41078,97,118.2028,30.06249
58,53.02868,97,113.8415,31.58711
95,40.08509,91,119.1643,30.08993
80,45.74921,103,115.9538,33.02089
55,54.8674,92,112.7484,30.07723
100,40.35622,92,122.2773,29.52169
61,51.40714,107,112.458,34.81377
76,48.00771,107,117.2537,34.15353
82,47.22232,91,117.0618,29.72857
49,56.57578,92,110.6134,29.2573
74,46.58604,90,118.1312,28.18245
49,53.30209,50,109.1317,15.24313
55,53.4839,90,112.1645,29.67582
50,54.91815,92,109.0201,28.90023
52,55.83733,92,110.2703,29.83569
84,44.06945,94,118.8998,30.03086
52,55.50921,97,110.7815,30.16426
53,55.67318,50,109.9313,16.59152
71,48.34791,94,114.5266,29.10197
63,50.14417,50,112.0328,15.37736
94,42.85084,97,120.8399,30.62614
79,45.33424,107,117.8764,34.4262
86,42.37486,89,117.4972,28.93179
49,53.65341,107,110.5726,33.30423
99,41.88055,101,122.0496,32.25949
91,44.0146,50,118.0401,15.19564
57,50.95069,107,113.9305,34.77017
57,52.54991,91,112.8275,28.19101
51,55.02249,103,113.0016,33.75825
79,45.49277,90,117.5462,28.27278
81,44.63347,107,118.8156,33.57271
57,51.76561,103,113.4665,33.87426
72,48.3541,101,115.6106,32.98097
51,56.02032,90,113.1201,28.8699
58,52.48414,97,110.9514,31.55824
74,48.46145,50,115.6059,15.8626
56,54.44077,101,110.617,32.66243
50,54.90872,90,112.7942,29.17737
62,49.68127,50,114.4467,15.40173
75,45.59859,90,118.1889,29.31049
82,46.09732,50,119.2522,16.90044
86,45.83864,107,117.6113,33.43777
72,47.56489,103,115.0868,33.54499
82,45.36192,92,118.6729,29.05747
83,46.62805,90,119.5283,27.85845
93,40.66276,97,121.1766,30.30795
66,48.37981,91,112.7231,29.05548
57,53.62895,91,110.672,29.40343
67,49.7451,50,114.512,15.21083
94,43.722,103,121.8766,32.4093
89,42.69667,89,117.9513,27.71712
77,45.36089,91,116.706,28.1605
75,46.25325,89,117.0471,27.56568
86,43.8945,90,118.0342,28.3379
87,45.1792,50,120.7189,16.81457
74,46.63882,90,117.0909,29.32607
75,47.30155,91,118.2345,28.46907
61,51.89364,50,112.2102,15.26531
52,55.35723,91,112.365,29.40407
56,54.30104,50,113.161,16.89016
87,43.18337,92,120.4902,29.33009
88,44.10065,91,119.1483,29.53819
96,41.79766,103,120.5208,32.83493
83,45.81811,91,117.5817,29.67169
77,46.79664,103,115.0511,32.23995
94,43.71338,103,119.4499,33.23654
72,48.86138,97,115.2987,30.09655
69,49.34835,91,114.7053,29.34454
72,50.3837,50,116.5514,16.20993
53,56.00445,50,110.2743,16.89295
86,45.42665,97,117.6639,30.14108
76,48.22152,97,118.5098,30.85079
91,44.26738,90,121.9601,28.83945
